id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,user,followers,friends,hashtags,place,coordinates,favorites
1498786259648626690,Tue Mar 01 22:24:25 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @FanDuel: Where's the lie 😔 https://t.co/pcNJlPku02,Where 's lie,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,29,"{'id': 4903227911, 'id_str': '4903227911', 'name': 'Papi Blanco Jr.🐺', 'screen_name': 'shawnfreeze2713', 'location': 'Detroit, MI', 'description': '❤️🐶 Peace. Love. Positivity.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 87, 'friends_count': 392, 'listed_count': 0, 'created_at': 'Sat Feb 13 01:19:42 +0000 2016', 'favourites_count': 135399, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 14781, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1008214515278909440/sMeyXeun_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1008214515278909440/sMeyXeun_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4903227911/1596459666', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",87,392,,FanDuel,"Detroit, MI",
1498786247145402369,Tue Mar 01 22:24:22 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GBO &amp; Ant’s NBA @fanduel picks for 3/1. Reply with a player you’re rostering tonight! #fanduel #dfs #draftkings… https://t.co/V3PECe1pwA,GBO amp Ant ’ NBA picks /1 Reply player ’ rostering tonight …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,"{'id': 1479135531518857219, 'id_str': '1479135531518857219', 'name': 'Talkin Sports', 'screen_name': 'TalkinSports98', 'location': '', 'description': 'GBO & Ant talkin’ sports from the NFL, MLB, NBA and NCAA. Along with, betting lines and daily FanDuel picks. Subscribe to the YouTube channel below  ⬇️', 'url': 'https://t.co/qxQLOI2Nlc', 'entities': {'url': {'urls': [{'url': 'https://t.co/qxQLOI2Nlc', 'expanded_url': 'https://m.youtube.com/channel/UCXr8XUyZMZ64EVzYdmFdRbA', 'display_url': 'm.youtube.com/channel/UCXr8X…', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 12, 'friends_count': 48, 'listed_count': 0, 'created_at': 'Thu Jan 06 16:59:57 +0000 2022', 'favourites_count': 2, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 54, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1479135820686708747/Df2E1hQx_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1479135820686708747/Df2E1hQx_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1479135531518857219/1641488841', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",12,48,"fanduel, dfs, draftkings",FanDuel,,
1498786246495064066,Tue Mar 01 22:24:21 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @dkm14: Good Times…… Good times,Good Times…… Good times,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001,en,0,122,"{'id': 991328720639016961, 'id_str': '991328720639016961', 'name': '💰', 'screen_name': 'Broncos__21', 'location': 'Los Angeles, CA', 'description': '@broncos @lakers @dodgers @canefootball 🇮🇷#LakeShow #BroncosCountry #TheU 🏈#Dodgers #UCLA🏀 RIP Tyson 🐶 RIP Kobe 🐐🏁🏁🏁', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 544, 'friends_count': 596, 'listed_count': 1, 'created_at': 'Tue May 01 14:49:19 +0000 2018', 'favourites_count': 38504, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 26491, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1364783539678367748/KpYf836k_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1364783539678367748/KpYf836k_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/991328720639016961/1639110361', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",544,596,,dkm14,"Los Angeles, CA",
1498786167520575489,Tue Mar 01 22:24:03 +0000 2022,"<a href=""http://www.robinspost.com/news/"" rel=""nofollow"">RSS Post Syndication</a>","""Sports Betting News: Five Key Takeaways From FanDuel Q4 #Results Call #News"": https://t.co/9RFqiteZpM",`` Sports Betting News Five Key Takeaways From FanDuel Q4 Call ``,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0,en,0,0,"{'id': 40173650, 'id_str': '40173650', 'name': 'Global News Report', 'screen_name': 'robinsnewswire', 'location': ""RT's Are FYI Purposes Only"", 'description': 'Flying the web for trusted world news reports and shopping discounts 24/7. Retweeting for opinions, useful information, and the many voices of Twitter.', 'url': 'http://t.co/DNyCun08Ab', 'entities': {'url': {'urls': [{'url': 'http://t.co/DNyCun08Ab', 'expanded_url': 'http://www.robinspost.com', 'display_url': 'robinspost.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 23896, 'friends_count': 16709, 'listed_count': 3677, 'created_at': 'Fri May 15 04:16:20 +0000 2009', 'favourites_count': 528, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 1895475, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '141106', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme3/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme3/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/748396533205327872/1I6ru8Ip_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/748396533205327872/1I6ru8Ip_normal.jpg', 'profile_link_color': '880000', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'FFFFFF', 'profile_text_color': '634047', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",23896,16709,"Results, News",,RT's Are FYI Purposes Only,
1498786156871364610,Tue Mar 01 22:24:00 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DFSAlarm: 🚨🏒 The #NHL #DFS Core Plays are now LIVE for tonight's slate! 

@andrewkdewhirst dishes out all the top hockey players to bui…",The Core Plays LIVE tonight 's slate dishes top hockey players bui…,"Sentiment(polarity=0.3181818181818182, subjectivity=0.5)",0.3181818181818182,0.5,en,0,4,"{'id': 1596289489, 'id_str': '1596289489', 'name': 'Andrew Dewhirst', 'screen_name': 'andrewkdewhirst', 'location': 'Ontario, Canada', 'description': 'Fantasy Hockey and DFS Writer @fantasyalarm @DFSAlarm. 2018-19 @analystEliteL Champion @FSWA member', 'url': 'https://t.co/ZxVmwH68NG', 'entities': {'url': {'urls': [{'url': 'https://t.co/ZxVmwH68NG', 'expanded_url': 'https://fantasydfsexperts.com', 'display_url': 'fantasydfsexperts.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1409, 'friends_count': 1417, 'listed_count': 21, 'created_at': 'Mon Jul 15 16:48:31 +0000 2013', 'favourites_count': 9879, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 5462, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000192340705/6a0d9fee112729e7eabf0248a5de26bd_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000192340705/6a0d9fee112729e7eabf0248a5de26bd_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1596289489/1642617807', 'profile_link_color': '89C9FA', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",1409,1417,"NHL, DFS","DFSAlarm, andrewkdewhirst","Ontario, Canada",
1498786127867781120,Tue Mar 01 22:23:53 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @FanDuel: Call it now ⤵️

Davante Adams will play for ____ next year. https://t.co/jLJ8xisJ21",Call ⤵️ Davante Adams play ____ next year,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,"{'id': 2160790669, 'id_str': '2160790669', 'name': 'FanDuel Sportsbook', 'screen_name': 'FDSportsbook', 'location': '', 'description': ""America's #1 Sportsbook! 21+ & Present in AZ/CO/CT/IA/IL/IN/LA/MI/NJ/NY/PA/TN/VA/WV. Help: @FanDuel_Support. Gambling Problem? 1-800-GAMBLER or https://t.co/5xElVVARkW"", 'url': 'https://t.co/VVKAVKS8Oc', 'entities': {'url': {'urls': [{'url': 'https://t.co/VVKAVKS8Oc', 'expanded_url': 'http://bit.ly/FD-Sportsbook', 'display_url': 'bit.ly/FD-Sportsbook', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/5xElVVARkW', 'expanded_url': 'http://fanduel.com/rg', 'display_url': 'fanduel.com/rg', 'indices': [144, 167]}]}}, 'protected': False, 'followers_count': 187311, 'friends_count': 1064, 'listed_count': 987, 'created_at': 'Mon Oct 28 12:14:33 +0000 2013', 'favourites_count': 26082, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 45342, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1318272818132504578/8OS0fJ-r_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1318272818132504578/8OS0fJ-r_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2160790669/1632328556', 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",187311,1064,,FanDuel,,
1498786094216790020,Tue Mar 01 22:23:45 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tryna bait people into taking that +1300 lol https://t.co/TB7DwhqgYq,Tryna bait people taking +1300 lol,"Sentiment(polarity=0.8, subjectivity=0.7)",0.8,0.7,en,1,0,"{'id': 297766143, 'id_str': '297766143', 'name': 'May', 'screen_name': 'KorverAintMe', 'location': 'Philadelphia, PA', 'description': 'I wanna be so rich that I can fly first class around the country to watch Temple Football and Basketball play lowly American teams', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 959, 'friends_count': 1569, 'listed_count': 9, 'created_at': 'Fri May 13 02:27:32 +0000 2011', 'favourites_count': 16046, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 69224, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1494068081307619328/jJGrKR24_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1494068081307619328/jJGrKR24_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/297766143/1625460180', 'profile_link_color': '2C7FEB', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",959,1569,,,"Philadelphia, PA",
1498786089481519105,Tue Mar 01 22:23:44 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @FanDuel: Call it now ⤵️

Davante Adams will play for ____ next year. https://t.co/jLJ8xisJ21",Call ⤵️ Davante Adams play ____ next year,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,"{'id': 1030134435721752578, 'id_str': '1030134435721752578', 'name': 'The Duel', 'screen_name': 'TheDuelSports', 'location': '', 'description': 'Introducing The Duel, from @FanDuel and powered by Minute Media — a curated collection of quick-hitting fan-written sports content', 'url': 'https://t.co/BTeN4PIr41', 'entities': {'url': {'urls': [{'url': 'https://t.co/BTeN4PIr41', 'expanded_url': 'https://www.theduel.com/', 'display_url': 'theduel.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 2331, 'friends_count': 726, 'listed_count': 32, 'created_at': 'Thu Aug 16 16:49:23 +0000 2018', 'favourites_count': 47, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 8106, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1034791163633512449/jP49SYBY_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1034791163633512449/jP49SYBY_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1030134435721752578/1535548453', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",2331,726,,FanDuel,,
1498786035551117317,Tue Mar 01 22:23:31 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DemonTimePicks: Who’s riding the hot hand? Love the Timberwolves at home vs the banged up Warriors. 
#SportsGambling #GamblingTwitter #…",Who ’ riding hot hand Love Timberwolves home vs banged Warriors …,"Sentiment(polarity=0.375, subjectivity=0.7250000000000001)",0.375,0.7250000000000001,en,0,1,"{'id': 1443631849637564423, 'id_str': '1443631849637564423', 'name': 'MoneyMoguls™️', 'screen_name': 'Money__Moguls', 'location': '', 'description': 'Ever want a place where you can learn all things money? Sports Gambling (‘22: +25.86U💰) // Stocks // Crypto // NFTs // ...not a financial advisor...', 'url': 'https://t.co/I0tv8YCgrH', 'entities': {'url': {'urls': [{'url': 'https://t.co/I0tv8YCgrH', 'expanded_url': 'http://www.tiktok.com/@moneymoguls', 'display_url': 'tiktok.com/@moneymoguls', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 165, 'friends_count': 340, 'listed_count': 0, 'created_at': 'Thu Sep 30 17:40:37 +0000 2021', 'favourites_count': 342, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 504, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1481400881123893249/_vSDtKEd_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1481400881123893249/_vSDtKEd_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1443631849637564423/1639969473', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",165,340,"SportsGambling, GamblingTwitter",DemonTimePicks,,
1498785964344307712,Tue Mar 01 22:23:14 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @NFLonPrime: @FanDuel @dkm14 @thecheckdown all the teams that didn't draft DK https://t.co/LJKTWGcobf,teams n't draft DK,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,3,"{'id': 1441193882339868672, 'id_str': '1441193882339868672', 'name': 'THEBOMDUDE XIV', 'screen_name': 'THEBOMDUDE', 'location': 'California, USA', 'description': 'I like Nintendo🟥, The NFL #GoHawks🏈, Star Wars🌌, Apple🍎, And I’m a Christian✝️.Rom 10:17 So faith comes from hearing, and hearing through the word of Christ', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 16, 'friends_count': 25, 'listed_count': 0, 'created_at': 'Fri Sep 24 00:13:44 +0000 2021', 'favourites_count': 1461, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 659, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1441194340479496192/kas74snX_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1441194340479496192/kas74snX_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1441193882339868672/1641163501', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",16,25,,"NFLonPrime, FanDuel, dkm14, thecheckdown","California, USA",
1498785920195215360,Tue Mar 01 22:23:04 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Who’s riding the hot hand? Love the Timberwolves at home vs the banged up Warriors. 
#SportsGambling… https://t.co/WTNGNMSGGA",Who ’ riding hot hand Love Timberwolves home vs banged Warriors …,"Sentiment(polarity=0.375, subjectivity=0.7250000000000001)",0.375,0.7250000000000001,en,1,1,"{'id': 1151982416782905344, 'id_str': '1151982416782905344', 'name': 'Demon Time', 'screen_name': 'DemonTimePicks', 'location': 'United States', 'description': 'I Tweet Winners || EST. 10/20/21', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 128, 'friends_count': 56, 'listed_count': 0, 'created_at': 'Thu Jul 18 22:29:45 +0000 2019', 'favourites_count': 198, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 662, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1489696346475016196/KmyYck62_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1489696346475016196/KmyYck62_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1151982416782905344/1639426776', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",128,56,SportsGambling,,United States,
1498785848942333952,Tue Mar 01 22:22:47 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @MadPremium_: Don’t tell me you a psychic and can’t tell me the FanDuel picks,Don ’ tell psychic ’ tell FanDuel picks,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,"{'id': 170570539, 'id_str': '170570539', 'name': 'MoMani Forever #MMMB', 'screen_name': 'NikeAirQuan', 'location': 'Planet of the Apes ', 'description': 'Director of Waves.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 540, 'friends_count': 512, 'listed_count': 2, 'created_at': 'Sun Jul 25 05:20:59 +0000 2010', 'favourites_count': 16032, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 75673, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1241811455017734148/DUW_RE3K_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1241811455017734148/DUW_RE3K_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/170570539/1560022490', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",540,512,,MadPremium_,Planet of the Apes ,
1498785823067627527,Tue Mar 01 22:22:40 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tonight’s Best Bets via https://t.co/zPjzkPHTvY! 

Follow for more sharp bets, sports betting picks and model trend… https://t.co/JvyotfKrqq",Tonight ’ Best Bets via Follow sharp bets sports betting picks model trend…,"Sentiment(polarity=0.4375, subjectivity=0.525)",0.4375,0.525,en,0,0,"{'id': 1451863182738341890, 'id_str': '1451863182738341890', 'name': 'Sharpest Bets', 'screen_name': 'SharpestBets', 'location': '', 'description': 'Our proprietary algorithm evaluates tickets from sportsbooks worldwide to find you the sharpest bets every day. #SportsBetting #GamblingTwitter #BettingTwitter', 'url': 'https://t.co/8gu0MD18hz', 'entities': {'url': {'urls': [{'url': 'https://t.co/8gu0MD18hz', 'expanded_url': 'http://SharpestBets.com', 'display_url': 'SharpestBets.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 448, 'friends_count': 417, 'listed_count': 4, 'created_at': 'Sat Oct 23 10:49:00 +0000 2021', 'favourites_count': 12, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2599, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1466350233491755011/_TfkFj-U_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1466350233491755011/_TfkFj-U_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1451863182738341890/1638440114', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",448,417,,,,
1498785639684354048,Tue Mar 01 22:21:57 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@FanDuel .@packers come on now.

Run it back, @tae15adams.",come Run back,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,"{'id': 441018661, 'id_str': '441018661', 'name': 'David Nichols', 'screen_name': 'dnichols_29', 'location': 'Illinois, USA (WISCO FOR LIFE)', 'description': ""...there's a thousand YOUs -- there's only 1 of ME..."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 171, 'friends_count': 622, 'listed_count': 2, 'created_at': 'Mon Dec 19 17:13:46 +0000 2011', 'favourites_count': 23267, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 14722, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '352726', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme5/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme5/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1138538046750691329/CgXSLNlP_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1138538046750691329/CgXSLNlP_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/441018661/1622049323', 'profile_link_color': 'D02B55', 'profile_sidebar_border_color': '829D5E', 'profile_sidebar_fill_color': '99CC33', 'profile_text_color': '3E4415', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",171,622,,"FanDuel, packers, tae15adams","Illinois, USA (WISCO FOR LIFE)",
